Hospital Name,Type of Institution,Hospital Address,District,Phone number,Email Address,Bed strength,Number of Doctors,No of Male Therapist,No of Female Therapist,Select Your Specialties,Accreditations
Saparya Ayurveda,OP Treatment Centre / Wellness Centre,"Near Police Station Thamarassery, PO. Thamarassery, Kozhikode-673573",Kozhikode,7034669955,dr.dvipink@gmail.com,0,2,1,1,"Spine and Joint Care, Women and Child Care",Nil
Amba Panchakarma Chikitsalayam,Hospital,"Amba Panchakarma Chikitsalayam
Urakam P.O
Thrissur- 680562",Thrissur,9846430009,jitheshoo@gmail.com,5,3,2,3,Kayachikitsa,Clinical Establishment Provisional Registration
"Indukantham Ayurveda Hospital and Panchakarma centre , Kizhakkenada, chengannur,",Hospital,"Indukantham Ayurveda Hospital and Panchakarma centre,Kizhakkenada, chengannur",Alappuzha,9446423497,Indukanthamayurveda@gmail.com,Ten,3,2,2,"Kayachikitsa, Koumarabrithya, therapeutic yoga",LSGI
Sanjeevani Ayurveda Hospital And Rejuvenation Centre,Hospital,Manappally P O,Kollam,9446184869,drrenji73@gmail.com,22,3,2,4,Kayachikitsa,ISO
Sririshi Ayurveda concepts,OP Treatment Centre / Wellness Centre,Parappa PO Kasaragod Dt pin 671533,Kasaragod,"9495461290, 
0467 2254130",drpraveenpr@gmail.com,3,3,1,1,General,NA
Kma aryavaidyasala,OP Treatment Centre / Wellness Centre,"Beach road
Kovalam
Trivandrum",Thiruvananthapuram,9388007007,anasbams@gmail.com,4,2,4,4,Kayachikitsa,"ISO,"
Anaril Vaidyasala,OP Treatment Centre / Wellness Centre,"XI/ 245, Thrikunnapuzha, 690515",Alappuzha,9446918019,drbrajeshveda@gmail.com,2,1,2,2,"Kayachikitsa, Shalya Chikitsa",NIL
Navaneetham Ayurveda speciality centre,Hospital,"Navaneetham ayurveda speciality centre, kunnakkara, kottarakkara 691566",Kollam,8590497871,navaneethamayurveda@gmail.com,16,12,3,5,"Kayachikitsa, Salakya Chikitsa, Shalya Chikitsa, Visha Chikitsa, Prasoothi Thanthra",Government approved Hospital
AYURKSHETHRA,Hospital,Opp KSEB NH Jun: Vayalar Cherthala,Alappuzha,9995432210,drshenoieayurkshethra@gmail.com,20,5,8,8,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra, Centre of Excellence for Stroke",ISO
Ayurkshethra wellnes Health Resorts & Retreats,Resort,Alappuzha,Alappuzha,9995432210,drshenoieayurkshethra@gmail.com,35,7,10,10,Wellness,ISO
Ashtanga Ayurghriham,OP Treatment Centre / Wellness Centre,"Kochanthara house, kuruppankulangara p o, Cherthala, Alappuzha",Alappuzha,8075415823,akhilaamitha1993@gmail.com,Nil,1,Oncall,1,Kayachikitsa,ISO
Kannankallel ayurveda clinic,Clinic op,Kannankallel ayurveda clinic pindimana po kothamangalam ernakulam dist Kerala,Ernakulam,9349753904,g.mamman32@gmail.com,No beds,Two,No,No,Kayachikitsa,No
S N Ayurveda Women's Hospital,Hospital,S N Ayurveda Women's Hospital. Near Mulappanchira. Kuruppampady. PIN:683545,Ernakulam,9497287108,drneethupamc@gmail.com,5,1,Nil,2,Kayachikitsa,No accreditation
Marunukada by Ayurkshethra,OP Treatment Centre / Wellness Centre,Opp SBI Court Jun Cherthala,Alappuzha,9288500500,drshenoieayurkshethra@gmail.com,0,2,2,2,General,ISO
Jeevani Ayurveda and Panchakarma,OP Treatment Centre / Wellness Centre,"Behind Krishna Hospital, Chinmaya Colony, Vidyanagar p.o, Kasaragod 671123",Kasaragod,8589017383,jayaraghavanm2002@gmail.com,Nil,1,On call,1,"Wt loss,backpain,post natal",Nil
AswathyMatha Ayurveda and Homoeo Health Care,OP Treatment Centre / Wellness Centre,"AswathyMatha Ayurveda and Homoeo Health Care, palace ward, krishnapuram PO, KAYAMKULAM, ALAPPUZHA,",Alappuzha,8848175229,arun.gdev@gmail.com,0,2,On call,1,"Kayachikitsa, Salakya Chikitsa, Shalya Chikitsa",Nill
Ayushi Ayurveda Wellness Center Anthikad,OP Treatment Centre / Wellness Centre,"Near KK Menon bus stop
Anthikad, Thrissur 680641, Kerala",Thrissur,9539188682,drfemithasherinva@gmail.com,1,1,1,1,Kayachikitsa,NA
Lakshmi Ayurvedic Clinic,Private clinic,"Lakshmi Ayurvedic Clinic, cheravalli, kayamkulam",Alappuzha,8590895556,thankulaks2019@gmail.com,No,1,1,1,Kayachikitsa,NA
Changampalli vaidyabhavan,Hospital,Changampalli vaidyabhavan,Malappuram,4942603585,firdouseck@gmail.com,16,3,2,4,"Kayachikitsa,","ISO,"
Dr. Anice's Ayurveda,OP Treatment Centre / Wellness Centre,"Dr. Anice's Ayurveda, Vallathol Junction, Seaport -Airport road, Thrikkakara. P. O, Kochin -682021",Ernakulam,9074287855,drtomytp@gmail.com,0,2,1,1,"Kayachikitsa, Prasoothi Thanthra",Na
Aayushi ayurvedic health care Center,OP Treatment Centre / Wellness Centre,"Aayushi ayurvedic health care Centre, Thana Kakkad Road, Kannur 670005",Kannur,9567167999,aayushiayurcare@gmail.com,0,2,2,2,"Kayachikitsa, Koumarabrithya, Prasoothi Thanthra",Nil
Janaki madhavam Ayurvedic clinic,Clinic,Puduruthy P.O,Thrissur,8589067765,s.dhanya831@gmail.com,Nil,1,0,0,Yoga and Cosmetology,Private practice
Jeevasparsham Ayur Retreat,OP Treatment Centre / Wellness Centre,"V p centre, akalad, opposite amup school",Thrissur,8139046414,shenushahana@gmail.com,0,2,1,3,"Kayachikitsa, Prasoothi Thanthra, Cosmetology, smrithi meditation & counselling, PNC,Diet & Nutrition",Panchayath registration
S.M.Ayur Niketan,Hospital,Wandoor,Malappuram,9447147683,drsulaimank@gmail.com,10,4,2,2,Shalya Chikitsa,ISO
Sarathy ayurvedic hospital,Hospital,"Sarathy ayurvedic hospital, Elanjichodu, Elookkara,Muppathadom PO , Aluva",Ernakulam,9847997321,drlathika@yahoo.co.uk,30,5,5,8,"Kayachikitsa, Shalya Chikitsa, Prasoothi Thanthra","ISO, NABH, Diamond by Kerala tourism department"
Ayurarogyam ayurveda clinic,OP Treatment Centre / Wellness Centre,"Manackachira kuttoor road,Thiruvalla",Pathanamthitta,9600233308,lidiya.emil@gmail.com,0,1,0,0,Kayachikitsa,Nil
Swasthy Ayurvedic Centre,OP Treatment Centre / Wellness Centre,"Swasthy Ayurvedic Centre, Ellampalloor, Kundara P O, Kollam 691501",Kollam,9061792920,drjasminejf@gmail.com,No,1,1,1,"Kayachikitsa, Cosmetology",No
Doctors Care Center,Wellness and Counselling Center,"Doctors Care Center, Malappatam, Kannur, 670631",Kannur,9645682386,jithoyjnambiar@gmail.com,0,2,2,2,"Manasaroga, Swasthavritha","ISO,"
